# Historical data for GBPUSD D1
# timestamp open high low close volume
2025-01-07 23:00 1.24743 1.24933 1.23202 1.23628 171047
2025-01-08 23:00 1.23547 1.23645 1.22378 1.23050 147084
2025-01-09 23:00 1.23024 1.23211 1.21906 1.22003 183870
2025-01-12 23:00 1.21979 1.22099 1.20989 1.22022 184637
2025-01-13 23:00 1.21968 1.22497 1.21348 1.22140 196239
2025-01-14 23:00 1.22037 1.23050 1.21573 1.22423 165016
2025-01-15 23:00 1.22330 1.22596 1.21738 1.22376 173817
2025-01-16 23:00 1.22361 1.22438 1.21588 1.21602 158404
2025-01-19 23:00 1.21680 1.23440 1.21596 1.23233 172852
2025-01-20 23:00 1.23118 1.23594 1.22286 1.23499 221011
2025-01-21 23:00 1.23369 1.23754 1.23067 1.23138 169121
2025-01-22 23:00 1.23157 1.23748 1.22926 1.23515 173789
2025-01-23 23:00 1.23521 1.25010 1.23477 1.24811 178907
2025-01-26 23:00 1.24636 1.25225 1.24252 1.24972 194884
2025-01-27 23:00 1.24902 1.24956 1.24138 1.24400 184290
2025-01-28 23:00 1.24360 1.24625 1.23926 1.24488 183197
2025-01-29 23:00 1.24411 1.24762 1.24072 1.24164 171087
2025-01-30 23:00 1.24145 1.24710 1.23791 1.23843 198645
2025-02-02 23:00 1.23052 1.24543 1.22485 1.24470 323752
2025-02-03 23:00 1.24320 1.24923 1.23782 1.24810 199158
2025-02-04 23:00 1.24743 1.25491 1.24627 1.25038 180055
2025-02-05 23:00 1.25014 1.25087 1.23597 1.24337 169179
2025-02-06 23:00 1.24287 1.24921 1.23755 1.24022 195617
2025-02-09 23:00 1.23675 1.24213 1.23622 1.23661 147820
2025-02-10 23:00 1.23677 1.24537 1.23318 1.24443 137635
2025-02-11 23:00 1.24316 1.24827 1.23755 1.24429 180161
2025-02-12 23:00 1.24433 1.25676 1.24344 1.25645 204887
2025-02-13 23:00 1.25536 1.26295 1.25491 1.25839 157531
2025-02-16 23:00 1.25843 1.26341 1.25769 1.26228 131914
2025-02-17 23:00 1.26159 1.26222 1.25818 1.26128 142995
2025-02-18 23:00 1.26146 1.26380 1.25626 1.25836 156144
2025-02-19 23:00 1.25801 1.26703 1.25723 1.26677 158098
2025-02-20 23:00 1.26552 1.26779 1.26197 1.26302 164375
2025-02-23 23:00 1.26289 1.26898 1.26111 1.26196 172999
2025-02-24 23:00 1.26252 1.26771 1.26053 1.26641 164453
2025-02-25 23:00 1.26571 1.27151 1.26345 1.26764 177902
2025-02-26 23:00 1.26745 1.26882 1.25974 1.26003 181165
2025-02-27 23:00 1.25988 1.26210 1.25586 1.25744 187419
2025-03-02 23:00 1.25785 1.27242 1.25772 1.26982 217372
2025-03-03 23:00 1.26991 1.27988 1.26783 1.27940 237200
2025-03-04 23:00 1.27860 1.29001 1.27670 1.28941 245530
2025-03-05 23:00 1.28907 1.29228 1.28654 1.28796 245513
2025-03-06 23:00 1.28736 1.29439 1.28695 1.29196 228713
2025-03-09 22:00 1.29106 1.29458 1.28605 1.28771 224772
2025-03-10 22:00 1.28723 1.29651 1.28714 1.29484 247883
2025-03-11 22:00 1.29441 1.29886 1.29129 1.29597 194969
2025-03-12 22:00 1.29580 1.29727 1.29201 1.29490 185538
2025-03-13 22:00 1.29468 1.29581 1.29102 1.29308 194927
2025-03-16 22:00 1.29259 1.29980 1.29162 1.29911 148928
2025-03-17 22:00 1.29895 1.30089 1.29510 1.30009 141197
2025-03-18 22:00 1.29980 1.30104 1.29545 1.30029 151208
2025-03-19 22:00 1.29880 1.30140 1.29353 1.29662 148167
2025-03-20 22:00 1.29637 1.29698 1.28871 1.29104 142636
2025-03-23 22:00 1.28959 1.29733 1.28904 1.29222 160176
2025-03-24 22:00 1.29205 1.29660 1.29012 1.29426 132711
2025-03-25 22:00 1.29382 1.29476 1.28736 1.28864 151126
2025-03-26 22:00 1.28874 1.29915 1.28686 1.29482 163845
2025-03-27 22:00 1.29405 1.29676 1.29203 1.29399 138792
2025-03-30 23:00 1.29331 1.29719 1.28857 1.29141 175810
2025-03-31 23:00 1.29111 1.29401 1.28778 1.29195 167391
2025-04-01 23:00 1.29182 1.30242 1.28997 1.30024 164018
2025-04-02 23:00 1.29902 1.32070 1.29676 1.30964 313420
2025-04-03 23:00 1.30931 1.31130 1.28520 1.28917 352744
2025-04-06 23:00 1.28388 1.29332 1.27076 1.27156 417915
2025-04-07 23:00 1.27163 1.28141 1.27142 1.27625 307848
2025-04-08 23:00 1.27548 1.28634 1.27426 1.28144 401813
2025-04-09 23:00 1.28140 1.29953 1.28092 1.29662 350297
2025-04-10 23:00 1.29581 1.31444 1.29581 1.30747 406423
2025-04-13 23:00 1.30817 1.32003 1.30618 1.31873 265559
2025-04-14 23:00 1.31776 1.32513 1.31635 1.32281 211236
2025-04-15 23:00 1.32130 1.32914 1.32114 1.32374 221765
2025-04-16 23:00 1.32384 1.32725 1.32022 1.32646 201643
